0.502607s    0.053042s   0.052175s   0.045844s   0.057243s   0.051466s   0.078880s  0.060018s   0.075581s   0.066015s
1.013100s    0.084298s   0.077894s   0.065646s   0.076610s   0.071506s   0.081416s  0.074259s   0.075119s   0.072440s
2.097357s    0.179891s   0.132508s   0.125785s   0.123762s   0.115792s   0.117541s  0.142584s   0.123375s   0.109881s
4.083775s    0.507582s   0.295700s   0.230701s   0.223342s   0.191757s   0.196631s  0.201646s   0.181063s   0.167829s
7.995231s    1.115389s   0.630724s   0.414993s   0.376646s   0.325592s   0.306781s  0.260958s   0.275124s   0.249819s
15.953456s   2.373751s   1.556630s   0.961091s   0.764769s   0.631243s   0.546433s  0.461174s   0.455621s   0.423261s
32.831239s   5.549782s   3.999225s   2.207159s   1.645964s   1.518065s   1.211649s  1.054922s   0.911862s   0.779077s
60.495999s   11.442213s  7.788650s   5.719977s   3.297427s   3.285594s   2.865663s  2.085820s   1.813878s   1.606735s
118.073772s  28.572683s  14.599092s  11.373251s  7.457194s   7.491718s   6.306583s  4.890191s   4.280943s   3.940130s
231.345677s  57.314026s  33.347017s  22.822176s  16.059989s  12.562273s  10.199144s 8.528057s   8.284140s   8.689115s
507.652142s  124.552148s 63.894825s  50.973099s  36.765339s  36.935777s  28.979013s 19.607489s  19.714870s  19.263505
