0.502607s    0.049524s   0.049717s   0.045086s   0.056859s   0.049701s   0.084978s   0.060009s   0.069375s   0.077257s
1.013100s    0.079621s   0.071520s   0.066680s   0.074023s   0.068915s   0.082229s   0.073084s   0.074282s   0.071277s
2.097357s    0.170152s   0.128354s   0.130658s   0.121070s   0.112707s   0.117020s   0.141967s   0.119967s   0.108294s
4.083775s    0.482918s   0.284679s   0.232935s   0.221620s   0.188203s   0.192309s   0.203512s   0.173658s   0.165538s
7.995231s    1.084584s   0.593252s   0.405544s   0.374389s   0.322361s   0.296981s   0.262698s   0.269606s   0.244484s
15.953456s   2.368429s   1.634453s   0.951056s   0.761578s   0.619543s   0.534491s   0.459968s   0.442085s   0.412911s
32.831239s   5.500416s   3.915288s   2.246956s   1.625706s   1.462801s   1.207310s   1.048715s   0.886071s   0.788015s
60.495999s   11.381897s  7.767800s   5.595456s   3.292087s   3.275704s   2.851751s   2.140994s   1.783348s   1.567393s
118.073772s  28.501823s  14.526123s  11.298062s  7.418992s   7.427056s   6.284714s   4.886085s   4.273181s   4.014542s
231.345677s  57.119795s  33.282101s  22.747710s  15.992114s  12.524728s  10.140905s  8.510673s   8.228367s   8.605389s
507.652142s  124.292769s 63.708129s  50.883941s  36.676467s  36.856050s  28.905223s  19.571401s  19.652697s  19.274151s
